visitor,total,items,itemTypes,visits,visitsNonPurchase,category,type,site
102269,18.82,1,1,2,1,Cat6,none,www.site1.com
102270,19.88,2,2,3,1,Cat5,Type1,www.site2.com
102271,80.17,10,8,9,1,Cat22,Type1,www.site2.com
102272,39.99,1,1,3,2,Cat3,Type1,www.site2.com
102273,41.62,4,4,6,2,Cat19,none,www.site4.com
102274,49.5,14,12,13,1,Cat12,none,www.site1.com
102275,59.8,2,1,2,1,Cat6,none,www.site1.com
102276,5.94,1,1,2,1,Cat58,none,www.site1.com
102277,139.0,1,1,2,1,Cat36,Type2,www.site5.com
102278,68.59,2,2,3,1,none,none,www.site1.com
102279,48.88,1,1,4,3,Cat87,Type1,www.site3.com
102280,105.08,2,1,2,1,none,none,www.site1.com
102281,91.86,6,4,5,1,Cat3,Type1,www.site2.com
102282,90.96,9,7,8,1,Cat43,none,www.site1.com
102283,290.0,1,1,2,1,Cat21,none,www.site1.com
102284,90.08,6,6,9,3,Cat23,none,www.site1.com
102285,60.47,1,1,2,1,Cat3,Type1,www.site2.com
102286,145.47,3,3,4,1,Cat41,none,www.site1.com
102287,749.6,10,10,15,5,Cat26,Type1,www.site5.com
102288,57.39,3,2,3,1,Cat12,none,www.site1.com
102289,154.26,12,7,9,2,Cat4,Type1,www.site2.com
102290,104.97,1,1,2,1,Cat17,none,www.site1.com
102291,57.49,2,2,5,3,Cat3,Type1,www.site2.com
102292,90.27,7,7,8,1,Cat13,Type1,www.site2.com
102293,12.0,2,2,3,1,Cat21,none,www.site1.com
102294,149.25,5,1,2,1,Cat3,Type1,www.site2.com
102295,19.95,1,1,2,1,Cat11,none,www.site1.com
102296,19.86,1,1,2,1,Cat48,Type1,www.site6.com
102297,79.0,1,1,2,1,Cat2,none,www.site1.com
102298,51.91,3,3,4,1,Cat3,Type1,www.site2.com
102299,45.0,2,2,3,1,Cat6,none,www.site1.com
102300,284.99,2,2,3,1,Cat36,Type2,www.site5.com
102301,50.89,6,6,8,2,Cat15,none,www.site1.com
102302,177.76,20,11,14,3,Cat26,Type2,www.site5.com
102303,9.99,1,1,2,1,Cat1,none,www.site1.com
102304,86.76,6,6,8,2,Cat3,Type1,www.site2.com
102305,61.04,8,8,10,2,Cat25,none,www.site1.com
102306,196.84,14,10,12,2,Cat25,none,www.site1.com
102307,23.96,2,1,2,1,Cat26,Type2,www.site5.com
102308,208.96,2,2,3,1,Cat1,none,www.site1.com
102309,133.96,2,2,4,2,Cat4,Type1,www.site3.com
102310,235.71,25,13,14,1,Cat21,none,www.site1.com
102311,196.44,21,18,24,6,Cat3,Type1,www.site2.com
102312,107.22,1,1,2,1,Cat17,none,www.site1.com
102313,97.53,1,1,2,1,Cat17,none,www.site1.com
102314,41.97,2,2,3,1,Cat30,none,www.site1.com
102315,18.46,1,1,2,1,Cat1,none,www.site1.com
102316,126.59,12,5,6,1,Cat3,Type1,www.site2.com
102317,48.88,1,1,2,1,Cat17,none,www.site1.com
102318,63.8,7,7,8,1,Cat6,none,www.site1.com
102319,149.97,3,3,6,3,Cat36,Type2,www.site5.com
102320,17.57,1,1,2,1,Cat21,none,www.site1.com
102321,3.66,1,1,2,1,none,none,www.site1.com
102322,53.91,3,3,5,2,Cat60,none,www.site1.com
102323,13.99,1,1,2,1,Cat8,none,www.site1.com
102324,59.29,5,4,5,1,none,none,www.site1.com
102325,31.59,2,2,3,1,Cat47,none,www.site1.com
102326,59.99,1,1,2,1,Cat26,Type1,www.site5.com
102327,19.49,1,1,2,1,Cat6,none,www.site1.com
102328,33.33,3,3,4,1,Cat41,none,www.site1.com
102329,177.68,11,10,12,2,Cat4,Type1,www.site2.com
102330,254.77,24,14,15,1,none,none,www.site1.com
102331,39.76,2,1,2,1,Cat23,none,www.site1.com
102332,58.98,2,2,3,1,Cat18,none,www.site1.com
102333,213.96,33,27,30,3,Cat4,Type2,www.site2.com
102334,161.0,2,2,3,1,Cat4,Type2,www.site2.com
102335,189.0,1,1,2,1,Cat11,none,www.site1.com
102336,291.57,2,2,4,2,Cat52,none,www.site1.com
102337,19.88,1,1,2,1,Cat3,Type1,www.site2.com
102338,15.0,1,1,2,1,Cat39,Type1,www.site6.com
102339,153.0,2,2,3,1,Cat3,Type1,www.site2.com
102340,59.87,6,6,8,2,Cat57,none,www.site1.com
102341,287.76,4,2,3,1,Cat36,Type12,www.site7.com
102342,14.0,1,1,2,1,Cat11,none,www.site1.com
102343,83.61,5,4,5,1,Cat3,Type1,www.site2.com
102344,98.93,4,2,3,1,Cat21,none,www.site1.com
102345,265.2,31,27,30,3,Cat3,Type1,www.site2.com
102346,17.25,1,1,2,1,Cat10,none,www.site1.com
102347,51.87,7,7,8,1,Cat13,Type1,www.site2.com
